,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2990,Chase,Chase,Chase County,20017,KS,Kansas,38.302,-96.594,2570
2991,Pawnee,Pawnee,Pawnee County,31133,NE,Nebraska,40.1315,-96.2371,2553
2992,Rawlins,Rawlins,Rawlins County,20153,KS,Kansas,39.7852,-101.0765,2544
2993,Rich,Rich,Rich County,49033,UT,Utah,41.6323,-111.2445,2543
2994,Wayne,Wayne,Wayne County,49055,UT,Utah,38.3244,-110.9038,2532
2995,Cochran,Cochran,Cochran County,48079,TX,Texas,33.6042,-102.8285,2529
2996,McIntosh,McIntosh,McIntosh County,38051,ND,North Dakota,46.1118,-99.4412,2529
2997,Hamilton,Hamilton,Hamilton County,20075,KS,Kansas,37.9991,-101.7912,2520
2998,Harmon,Harmon,Harmon County,40057,OK,Oklahoma,34.7441,-99.8462,2499
2999,Frontier,Frontier,Frontier County,31063,NE,Nebraska,40.5301,-100.3942,2491
3000,Hettinger,Hettinger,Hettinger County,38041,ND,North Dakota,46.4325,-102.4603,2477
3001,Schleicher,Schleicher,Schleicher County,48413,TX,Texas,30.8974,-100.5383,2474
3002,Niobrara,Niobrara,Niobrara County,56027,WY,Wyoming,43.0564,-104.4754,2460
3003,Ziebach,Ziebach,Ziebach County,46137,SD,South Dakota,44.9804,-101.6658,2455
3004,Elk,Elk,Elk County,20049,KS,Kansas,37.4537,-96.2441,2453
3005,Sheridan,Sheridan,Sheridan County,20179,KS,Kansas,39.3503,-100.4418,2450
3006,Kiowa,Kiowa,Kiowa County,20097,KS,Kansas,37.5582,-99.2861,2445
