,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2098,Gasconade,Gasconade,Gasconade County,29073,MO,Missouri,0.15957127693792472,0.15065796075907656,14801
2099,Jeff Davis,Jeff Davis,Jeff Davis County,13161,GA,Georgia,-6.475728723062076,9.02175796075909,14791
2100,Pike,Pike,Pike County,17149,IL,Illinois,1.3411712769379278,0.7722579607590774,14776
2101,Nelson,Nelson,Nelson County,51125,VA,Virginia,-0.49392872306207636,12.77175796075909,14773
2102,LaSalle,LaSalle,LaSalle Parish,22059,LA,Louisiana,-6.604428723062075,-0.501942039240916,14764
2103,Hale,Hale,Hale County,1065,AL,Alabama,-5.518628723062072,4.029457960759089,14742
2104,Kossuth,Kossuth,Kossuth County,19109,IA,Iowa,4.922771276937922,-2.548142039240915,14718
2105,Renville,Renville,Renville County,27129,MN,Minnesota,6.445471276937923,-3.288542039240923,14707
2106,Nolan,Nolan,Nolan County,48353,TX,Texas,-5.977828723062075,-8.747442039240923,14657
2107,Pendleton,Pendleton,Pendleton County,21191,KY,Kentucky,0.4142712769379244,7.298257960759088,14638
2108,Harrison,Harrison,Harrison County,19085,IA,Iowa,3.401571276937922,-4.158242039240918,14623
2109,Carbon,Carbon,Carbon County,56007,WY,Wyoming,3.4130712769379272,-15.272042039240915,14609
2110,Mills,Mills,Mills County,19129,IA,Iowa,2.752071276937926,-3.962742039240922,14605
2111,Gogebic,Gogebic,Gogebic County,26053,MI,Michigan,8.127371276937929,1.9642579607590847,14597
2112,Falls Church,Falls Church,Falls Church City,51610,VA,Virginia,0.6033712769379278,14.483457960759083,14576
2113,Fulton,Fulton,Fulton County,42057,PA,Pennsylvania,1.6440712769379289,13.54585796075908,14545
2114,Clay,Clay,Clay County,5021,AR,Arkansas,-1.9130287230620766,1.2412579607590857,14537
2115,Moultrie,Moultrie,Moultrie County,17139,IL,Illinois,1.3601712769379262,3.0392579607590875,14531
2116,Harrison,Harrison,Harrison County,39067,OH,Ohio,2.012471276937923,10.567457960759086,14528
2117,San Juan,San Juan,San Juan County,49037,UT,Utah,-0.6553287230620768,-18.14604203924091,14524
2118,Dent,Dent,Dent County,29065,MO,Missouri,-0.6747287230620742,0.15065796075907656,14509
2119,Cannon,Cannon,Cannon County,47015,TN,Tennessee,-2.4726287230620727,5.596757960759078,14481
2120,Jefferson,Jefferson,Jefferson County,12065,FL,Florida,-7.8438287230620745,7.763257960759077,14458
2121,Wetzel,Wetzel,Wetzel County,54103,WV,West Virginia,1.3239712769379253,11.019457960759084,14431
2122,Las Animas,Las Animas,Las Animas County,8071,CO,Colorado,-0.9655287230620715,-12.38004203924092,14422
2123,Bourbon,Bourbon,Bourbon County,20011,KS,Kansas,-0.42612872306207095,-3.1907420392409165,14405
2124,Livingston,Livingston,Livingston County,29117,MO,Missouri,1.5007712769379253,-1.8896420392409112,14402
2125,Franklin,Franklin,Franklin County,16041,ID,Idaho,3.8997712769379262,-20.154642039240912,14376
